CustomerID,Total Revenue,Total Orders,Avg Order Value,Customer Segment,Customer Type
12754,3010.74,3,1003.58,Low,Repeat
12755,3811.95,2,1905.98,Low,Repeat
12756,112.08,1,112.08,Low,One-Time
12757,7857.10,13,604.39,Mid,Repeat
12758,2791.59,2,1395.80,Low,Repeat
12759,1531.44,3,510.48,Low,Repeat
12762,1898.52,2,949.26,Low,Repeat
12763,494.08,2,247.04,Low,Repeat
12764,1693.88,1,1693.88,Low,One-Time
12766,6989.63,7,998.52,Mid,Repeat
12769,1143.60,1,1143.60,Low,One-Time
12770,1351.45,1,1351.45,Low,One-Time
12772,892.47,1,892.47,Low,One-Time
12775,1386.04,5,277.21,Low,Repeat
12778,822.23,6,137.04,Low,Repeat
12779,3981.36,8,497.67,Low,Repeat
12781,826.74,2,413.37,Low,Repeat
12782,2330.92,5,466.18,Low,Repeat
12783,2225.91,6,370.99,Low,Repeat
12784,574.42,2,287.21,Low,Repeat
12785,311.95,1,311.95,Low,One-Time
12787,463.66,3,154.55,Low,Repeat
12789,91.85,1,91.85,Low,One-Time
12790,324.92,1,324.92,Low,One-Time
12791,192.60,1,192.60,Low,One-Time
12792,400.54,1,400.54,Low,One-Time
12793,545.48,2,272.74,Low,Repeat
12794,860.41,2,430.21,Low,Repeat
12795,430.48,1,430.48,Low,One-Time
12797,254.03,1,254.03,Low,One-Time
12798,6977.04,3,2325.68,Mid,Repeat
12802,427.58,1,427.58,Low,One-Time
12808,483.65,3,161.22,Low,Repeat
12809,489.31,1,489.31,Low,One-Time
12811,514.85,3,171.62,Low,Repeat
12812,229.64,1,229.64,Low,One-Time
12814,125.92,1,125.92,Low,One-Time
12815,1063.46,2,531.73,Low,Repeat
12816,572.20,2,286.10,Low,Repeat
12817,166.04,1,166.04,Low,One-Time
12818,1542.08,1,1542.08,Low,One-Time
12820,942.34,4,235.59,Low,Repeat
12821,92.72,1,92.72,Low,One-Time
12822,948.88,2,474.44,Low,Repeat
12823,1759.50,5,351.90,Low,Repeat
12824,397.12,1,397.12,Low,One-Time
12826,1474.72,7,210.67,Low,Repeat
12827,430.15,3,143.38,Low,Repeat
12828,1018.71,6,169.79,Low,Repeat
12829,293.00,2,146.50,Low,Repeat
12830,6814.64,6,1135.77,Mid,Repeat
12831,215.05,1,215.05,Low,One-Time
12832,383.03,2,191.52,Low,Repeat
12833,417.38,1,417.38,Low,One-Time
12834,312.38,1,312.38,Low,One-Time
12836,2612.86,4,653.22,Low,Repeat
12837,134.10,1,134.10,Low,One-Time
12838,683.13,2,341.57,Low,Repeat
12839,5591.42,14,399.39,Mid,Repeat
12840,2726.77,4,681.69,Low,Repeat
12841,4022.35,25,160.89,Low,Repeat
12842,1118.99,2,559.50,Low,Repeat
12843,1702.26,8,212.78,Low,Repeat
12844,325.96,2,162.98,Low,Repeat
12845,354.09,4,88.52,Low,Repeat
12847,871.54,1,871.54,Low,One-Time
12849,1050.89,2,525.45,Low,Repeat
12851,135.18,1,135.18,Low,One-Time
12852,311.55,1,311.55,Low,One-Time
12853,1957.10,6,326.18,Low,Repeat
12854,1324.50,3,441.50,Low,Repeat
12855,38.10,1,38.10,Low,One-Time
12856,2179.93,6,363.32,Low,Repeat
12857,1106.40,2,553.20,Low,Repeat
12863,521.20,1,521.20,Low,One-Time
12864,147.12,1,147.12,Low,One-Time
12865,1568.23,2,784.12,Low,Repeat
12866,559.12,1,559.12,Low,One-Time
12867,4036.82,7,576.69,Low,Repeat
12868,1607.06,6,267.84,Low,Repeat
12871,380.64,2,190.32,Low,Repeat
12872,599.97,2,299.99,Low,Repeat
12873,374.00,1,374.00,Low,One-Time
12875,343.23,2,171.62,Low,Repeat
12876,2218.02,2,1109.01,Low,Repeat
12877,1535.77,12,127.98,Low,Repeat
12878,854.99,2,427.50,Low,Repeat
12879,573.22,3,191.07,Low,Repeat
12881,298.00,1,298.00,Low,One-Time
12882,1463.04,2,731.52,Low,Repeat
12883,703.47,4,175.87,Low,Repeat
12884,309.05,1,309.05,Low,One-Time
12885,1175.22,3,391.74,Low,Repeat
12886,1378.40,2,689.20,Low,Repeat
12888,354.12,2,177.06,Low,Repeat
12890,380.47,1,380.47,Low,One-Time
12891,331.00,3,110.33,Low,Repeat
12893,188.14,1,188.14,Low,One-Time
12895,372.80,2,186.40,Low,Repeat
12897,216.50,2,108.25,Low,Repeat
12901,17654.54,28,630.52,High,Repeat
12902,138.68,1,138.68,Low,One-Time
12904,509.58,2,254.79,Low,Repeat
12906,2919.81,5,583.96,Low,Repeat
12908,750.00,2,375.00,Low,Repeat
12909,2178.67,5,435.73,Low,Repeat
12910,3075.04,8,384.38,Low,Repeat
12912,1662.30,5,332.46,Low,Repeat
12913,2483.63,5,496.73,Low,Repeat
12915,363.65,2,181.83,Low,Repeat
12916,3006.15,4,751.54,Low,Repeat
12917,594.00,1,594.00,Low,One-Time
12919,1335.19,6,222.53,Low,Repeat
12920,164.23,1,164.23,Low,One-Time
12921,16587.09,37,448.30,High,Repeat
12922,405.38,1,405.38,Low,One-Time
12923,176.97,1,176.97,Low,One-Time
12924,933.70,4,233.43,Low,Repeat
12925,694.05,2,347.03,Low,Repeat
12928,2062.70,5,412.54,Low,Repeat
12929,117.85,1,117.85,Low,One-Time
12930,415.80,2,207.90,Low,Repeat
12931,42055.96,15,2803.73,High,Repeat
12933,607.53,3,202.51,Low,Repeat
12935,2160.70,7,308.67,Low,Repeat
12936,1063.90,4,265.98,Low,Repeat
12937,1504.27,4,376.07,Low,Repeat
12938,114.14,1,114.14,Low,One-Time
12939,11581.80,8,1447.73,High,Repeat
12940,913.54,2,456.77,Low,Repeat
12942,683.90,3,227.97,Low,Repeat
12944,604.51,2,302.26,Low,Repeat
12945,462.95,1,462.95,Low,One-Time
12947,1603.99,6,267.33,Low,Repeat
12948,2064.95,7,294.99,Low,Repeat
12949,4167.22,8,520.90,Low,Repeat
12950,1843.00,3,614.33,Low,Repeat
12951,1064.07,6,177.35,Low,Repeat
12952,1387.79,4,346.95,Low,Repeat
12953,329.85,1,329.85,Low,One-Time
12955,4757.16,11,432.47,Low,Repeat
12956,108.07,1,108.07,Low,One-Time
12957,4017.54,8,502.19,Low,Repeat
12962,266.39,2,133.20,Low,Repeat
12963,1856.63,8,232.08,Low,Repeat
12965,771.91,1,771.91,Low,One-Time
12966,160.18,1,160.18,Low,One-Time
12967,1660.90,2,830.45,Low,Repeat
12968,135.95,1,135.95,Low,One-Time
12970,452.24,4,113.06,Low,Repeat
12971,11189.91,86,130.12,High,Repeat
12974,144.80,1,144.80,Low,One-Time
12976,738.60,1,738.60,Low,One-Time
12977,39.24,1,39.24,Low,One-Time
12980,7374.90,9,819.43,Mid,Repeat
12981,372.22,2,186.11,Low,Repeat
12982,390.54,1,390.54,Low,One-Time
12984,97.50,1,97.50,Low,One-Time
12985,1239.38,2,619.69,Low,Repeat
12987,558.70,2,279.35,Low,Repeat
12988,535.32,1,535.32,Low,One-Time
12989,6924.11,15,461.61,Mid,Repeat
12990,409.50,3,136.50,Low,Repeat
12991,503.76,2,251.88,Low,Repeat
12993,414.76,4,103.69,Low,Repeat
12994,974.42,3,324.81,Low,Repeat
12995,211.32,1,211.32,Low,One-Time
12997,1226.89,4,306.72,Low,Repeat
12999,455.88,3,151.96,Low,Repeat
13000,534.85,3,178.28,Low,Repeat
13001,9818.82,13,755.29,Mid,Repeat
13002,120.95,1,120.95,Low,One-Time
13003,149.05,3,49.68,Low,Repeat
13004,5655.91,18,314.22,Mid,Repeat
13005,513.70,2,256.85,Low,Repeat
13006,81.57,1,81.57,Low,One-Time
13008,229.47,1,229.47,Low,One-Time
13011,50.55,1,50.55,Low,One-Time
13012,1661.84,8,207.73,Low,Repeat
13013,4810.94,13,370.07,Low,Repeat
13014,3466.28,10,346.63,Low,Repeat
13015,3346.28,5,669.26,Low,Repeat
13016,789.89,3,263.30,Low,Repeat
13017,204.00,1,204.00,Low,One-Time
13018,7277.70,28,259.92,Mid,Repeat
13021,2616.38,9,290.71,Low,Repeat
13023,689.90,2,344.95,Low,Repeat
13026,975.36,5,195.07,Low,Repeat
13027,6912.00,6,1152.00,Mid,Repeat
13028,661.32,2,330.66,Low,Repeat
13029,1247.50,3,415.83,Low,Repeat
13030,799.48,2,399.74,Low,Repeat
13032,1010.18,2,505.09,Low,Repeat
13033,190.55,1,190.55,Low,One-Time
13034,642.77,2,321.39,Low,Repeat
13035,921.88,2,460.94,Low,Repeat
13037,881.07,3,293.69,Low,Repeat
13038,908.46,3,302.82,Low,Repeat
13040,676.99,2,338.50,Low,Repeat
13043,516.42,1,516.42,Low,One-Time
13044,560.47,1,560.47,Low,One-Time
13045,305.28,1,305.28,Low,One-Time
13046,629.31,2,314.66,Low,Repeat
13047,3237.54,10,323.75,Low,Repeat
13048,1835.91,4,458.98,Low,Repeat
13049,656.68,2,328.34,Low,Repeat
13050,5836.86,17,343.34,Mid,Repeat
13052,348.15,1,348.15,Low,One-Time
13055,1214.41,3,404.80,Low,Repeat
13058,271.40,3,90.47,Low,Repeat
13059,183.40,1,183.40,Low,One-Time
13060,307.53,1,307.53,Low,One-Time
13061,248.61,1,248.61,Low,One-Time
13062,346.98,1,346.98,Low,One-Time
13064,1119.49,4,279.87,Low,Repeat
13065,205.86,1,205.86,Low,One-Time
13066,470.80,2,235.40,Low,Repeat
13067,115.46,1,115.46,Low,One-Time
13068,344.00,2,172.00,Low,Repeat
13069,4436.12,24,184.84,Low,Repeat
13070,228.80,1,228.80,Low,One-Time
13072,177.15,1,177.15,Low,One-Time
13075,919.61,1,919.61,Low,One-Time
13077,729.27,4,182.32,Low,Repeat
13078,12627.94,26,485.69,High,Repeat
13079,220.10,5,44.02,Low,Repeat
13080,58.08,1,58.08,Low,One-Time
13081,28337.38,11,2576.13,High,Repeat
13082,3613.63,9,401.51,Low,Repeat
13083,303.75,2,151.88,Low,Repeat
13085,416.08,2,208.04,Low,Repeat
13089,58825.83,97,606.45,High,Repeat
13090,8910.82,14,636.49,Mid,Repeat
13091,345.82,1,345.82,Low,One-Time
13092,477.83,5,95.57,Low,Repeat
13093,7832.47,8,979.06,Mid,Repeat
13094,1927.32,12,160.61,Low,Repeat
13095,74.40,1,74.40,Low,One-Time
13097,6010.42,10,601.04,Mid,Repeat
13098,28882.44,28,1031.52,High,Repeat
13099,207.36,1,207.36,Low,One-Time
13101,101.19,1,101.19,Low,One-Time
13102,6424.09,24,267.67,Mid,Repeat
13103,243.94,1,243.94,Low,One-Time
13104,1098.48,6,183.08,Low,Repeat
13106,76.50,1,76.50,Low,One-Time
13107,1531.62,4,382.91,Low,Repeat
13108,350.06,1,350.06,Low,One-Time
13109,786.54,2,393.27,Low,Repeat
13110,1488.67,7,212.67,Low,Repeat
13113,12245.96,24,510.25,High,Repeat
13115,2294.78,4,573.70,Low,Repeat
13116,501.14,1,501.14,Low,One-Time
13117,984.91,8,123.11,Low,Repeat
13118,1197.81,5,239.56,Low,Repeat
13120,30.60,1,30.60,Low,One-Time
13121,283.73,1,283.73,Low,One-Time
13122,922.39,2,461.20,Low,Repeat
13124,3866.33,3,1288.78,Low,Repeat
13126,2099.64,8,262.46,Low,Repeat
13127,259.17,1,259.17,Low,One-Time
13130,64.00,1,64.00,Low,One-Time
13131,1073.30,3,357.77,Low,Repeat
13132,77.30,1,77.30,Low,One-Time
13133,109.80,2,54.90,Low,Repeat
13134,1793.58,4,448.40,Low,Repeat
13135,3096.00,1,3096.00,Low,One-Time
13136,2607.61,5,521.52,Low,Repeat
13137,3650.41,8,456.30,Low,Repeat
13138,962.39,6,160.40,Low,Repeat
13139,5064.94,7,723.56,Mid,Repeat
13140,423.72,3,141.24,Low,Repeat
13141,2388.75,5,477.75,Low,Repeat
13142,307.09,1,307.09,Low,One-Time
13144,110.95,1,110.95,Low,One-Time
13145,618.52,4,154.63,Low,Repeat
13146,228.91,1,228.91,Low,One-Time
13147,712.80,4,178.20,Low,Repeat
13148,3707.12,12,308.93,Low,Repeat
13149,1676.06,4,419.02,Low,Repeat
13151,1257.87,1,1257.87,Low,One-Time
13153,486.22,1,486.22,Low,One-Time
13155,971.76,4,242.94,Low,Repeat
13157,1741.22,4,435.31,Low,Repeat
13158,1201.06,4,300.27,Low,Repeat
13159,1437.85,4,359.46,Low,Repeat
13160,91.80,1,91.80,Low,One-Time
13161,112.75,1,112.75,Low,One-Time
13162,1688.29,4,422.07,Low,Repeat
13165,1021.48,2,510.74,Low,Repeat
13166,417.20,1,417.20,Low,One-Time
13167,791.33,4,197.83,Low,Repeat
13168,1319.19,4,329.80,Low,Repeat
13169,712.88,2,356.44,Low,Repeat
13170,116.01,1,116.01,Low,One-Time
13171,468.41,3,156.14,Low,Repeat
13173,353.65,2,176.83,Low,Repeat
13174,2817.03,3,939.01,Low,Repeat
13176,492.84,1,492.84,Low,One-Time
13177,282.45,1,282.45,Low,One-Time
13178,5725.47,11,520.50,Mid,Repeat
13182,121.18,1,121.18,Low,One-Time
13183,3957.78,9,439.75,Low,Repeat
13184,1701.29,10,170.13,Low,Repeat
13185,71.40,1,71.40,Low,One-Time
13186,1575.89,3,525.30,Low,Repeat
13187,236.02,1,236.02,Low,One-Time
13188,114.60,1,114.60,Low,One-Time
13189,260.68,2,130.34,Low,Repeat
13192,911.94,2,455.97,Low,Repeat
13193,117.88,1,117.88,Low,One-Time
13194,60.70,1,60.70,Low,One-Time
13196,1797.78,4,449.45,Low,Repeat
